Company,brand_name,key ingredients,key benefits,rating,number of rating
Dr. Reckeweg R74 Nocturnal Enuresis Drop,Dr Reckeweg & Co,NA,"['Helps relieve bed-wetting', 'Prevents urinary tract infections', 'Aids in regulating bladder functions']",4.5,86 Ratings
SBL Ratanhia Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.5,187 Ratings
SBL Phosphorus Dilution 30 CH,SBL Pvt Ltd,NA,"['Relieves chest congestion', 'Useful for respiratory ailments', 'Deals with food intolerance', 'Relieves anxiety and body weakness']",4.5,287 Ratings
Hapdco B.Ve. Phos Children Tonic,HAPDCO,NA,"['Effective for concern associated with liver', 'Helps manage anaemia in children', 'Manages bilious concerns']",4.5,168 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Dr. Reckeweg R48 Pulmonary Diseases Drop,Dr Reckeweg & Co,NA,"['It helps reduce nocturnal perspiration', 'It reduces pulmonary weakness', 'It aids in body detoxification']",4.5,77 Ratings
ADEL 33 Apo-Oedem Drop,Adel Pekana Germany,NA,"['Stimulates the kidneys and helps eliminate circulatory problems', 'Reduces nervous heart conditions caused by infectious-toxic disruptions in the heart muscle', 'Acts as a powerful diuretic and treats heart conditions', 'Helps to regulate the various metabolic which are necessary for oedematic states']",4.7,61 Ratings
SBL Senega Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.5,124 Ratings
SBL Acid Nitricum Dilution 200 CH,SBL Pvt Ltd,NA,"['Potent remedy for headache and intermittent fever', 'Acts as a laxative to deal with constipation', 'Useful for respiratory tract ailments', 'Helpful in cases of haemorrhoids']",4.6,390 Ratings
SBL Jaborandi Plus Hair Oil,SBL Pvt Ltd,NA,"['Prevents premature greying of hair', 'Restores hair lost lustre and vitality', 'Helps in the blood circulation of the scalp', 'Rejuvenates scalp and stimulates hair follicles', 'Controls dandruff and promotes hair growth', 'Strengthens and replenishes hair lost lustre and vitality']",4.4,159 Ratings
Bjain Jaborandi Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,"['Manages hair fall and its associated conditions', 'Strengthens hair follicles', 'Reduces premature greying']",4.5,95 Ratings
Dr. Reckeweg Bio-Combination 4 (BC 4) Tablet,Dr Reckeweg & Co,NA,"['Helps in supporting the digestive system', 'Aids in restoring appetite', 'Relieves constipation and hard stool']",4.4,63 Ratings
Dr. Reckeweg Hair Care Combo (R89 + Lycopodium Dilution 30CH),Dr Reckeweg & Co,NA,"['Supports healthy hair', 'Helps manage concerns associated with alopecia, baldness, premature hair loss and premature grey hair', 'Helps relieve liver complications, constipation, bloating and arthritic pains']",4.5,15 Ratings
Dr Willmar Schwabe India Alpha - Acid Tablet,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps mange gastric disturbances', 'Helps relieve associated nausea and vomiting', 'Helps relieve associated headaches', 'No side effects']",4.4,106 Ratings
Hapdco Cholerasol Drop,HAPDCO,NA,"['Addresses insect bites', 'Manages concerns associated with abdominal', 'Relieves colic pain and headache']",4.6,129 Ratings
SBL Kreosotum Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.7,61 Ratings
Dr. Reckeweg R21 Reconstituant Drop,Dr Reckeweg & Co,NA,"['Reduces skin disorders such as itching', 'Helps relieve redness and spotting', 'Relieves eczema and skin eruptions']",4.3,72 Ratings
Dr Willmar Schwabe India Ocimum Sanctum Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Abundant in antioxidants', 'Aids in digestion', 'Helpful for renal pains', 'Helps relieve fever, cough and cold']",4.6,121 Ratings
Dr. Reckeweg R33 Epilepsy Drop,Dr Reckeweg & Co,NA,"['Helps manage convulsions', 'Reduces cramps in the thighs', 'Can help boost immunity']",4.4,87 Ratings
ADEL 85 Neu-Regen Tonic,Adel Pekana Germany,NA,"['Helps reduce physical and mental fatigue', 'Reduce muscle weakness and increase stamina', 'Helps to reduce stress, anxiety and other negative moods']",4.7,68 Ratings
ADEL 16 Gastul Drop,Adel Pekana Germany,NA,"['Enhances protein absorption in the body', 'Helps to build healthy cells and tissues', 'Helps to counter mental exhaustion', 'Useful in case of liver and gastrointestinal diseases']",4.5,90 Ratings
Dr. Reckeweg R83 Food Allergy Drop,Dr Reckeweg & Co,NA,"['Helps relieve food allergy', 'Aids in providing antihistamine effects', 'Enhances immune system']",4.4,108 Ratings
Dr. Reckeweg R63 Impaired Circulation Drop,Dr Reckeweg & Co,NA,"['It helps in maintaining blood circulation', 'It aids in the treatment of venous congestion', 'It prevents spasms and cramps']",4.5,78 Ratings
Dr. Reckeweg Caladium Seg Dilution 30 CH,Dr Reckeweg & Co,NA,"['Relieves swelling and itching', 'Useful for stomach and lung disorders', 'Alleviates headaches, nausea and exhaustion', 'Relieves oppression and congestion in the chest']",4.1,354 Ratings
Wheezal Arnica Hair N Scalp Anti-Dandruff Shampoo,Wheezal Homeo Pharma,NA,"['It provides relief from dandruff and itching', 'It can promote hair growth', 'It can help improve scalp health', 'It helps to make the hair strong, soft and lustrous']",4.3,52 Ratings
Dr. Reckeweg R10 Climacteric Drop,Dr Reckeweg & Co,NA,"['Helps in maintaining menstrual health', 'Aids in relieving ovarian disorders', 'Manages endocrine dysfunction']",4.7,66 Ratings
Bakson's Homeopathy Kof Aid Cough Syrup,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps to treat associated symptoms of headache, rhinitis and fever', 'Treats and reduces the sneezing, runny, stuffy and itchy nose', 'It helps to heal sore or scratchy throat, coughing and frequent headaches']",4.3,141 Ratings
Dr Willmar Schwabe India Arnica Montana Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Manages post-injury bruises', 'Relieves joint pain and muscular cramps', 'Reduces soreness and bleeding', 'Helps with motion sickness and breathing difficulties']",4.6,449 Ratings
SBL Anti-Dandruff Shampoo,SBL Pvt Ltd,NA,"['Unique blend of natural ingredients that helps clear dandruff in the hair', 'Removes oiliness and maintains oil balance in the hair', 'Keeps hair soft, manageable and healthy', 'Relieves itchy scalp and flaking', 'Prevents hair fall and cleanses scalp']",4.3,74 Ratings
Dr. Reckeweg Natrum Mur Dilution 200 CH,Dr Reckeweg & Co,NA,"['Primarily used to deal with anaemia and inflammation', 'Useful for digestive disorders', 'Regulates increased blood sugar levels', 'Relieves constrictions of the chest and heart']",4.5,300 Ratings
SBL Antimonium Crudum Dilution 200 CH,SBL Pvt Ltd,NA,"['It helps in fighting obesity', 'Helps treat Depression, grief and feeling of indifference towards life', 'Useful in treating skin issues like pimples, vesicles and Eczema']",4.6,393 Ratings
Sunny Herbals Derm Aid Soap,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Sunny Derm Aid Soap effectively reduces redness, diminishes scars and spots', 'Derm Aid Soap will nourish and hydrate the skin', 'Derm Aid Soap will reduce age spots, hyperpigmentation, and other skin issues', 'Derm Aid Soap contains herbal ingredients like thuja, aloe vera and calendula']",4.5,137 Ratings
Dr. Reckeweg Natrum Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,NA,"['Helps in relieving tongue blisters', 'Relieves hyperacidity and heartburn', 'Reduces joint pain']",4.6,103 Ratings
SBL Embelica Officinalis Mother Tincture Q,SBL Pvt Ltd,NA,"['Provides digestive support', 'It has antioxidant properties', 'Promotes general health', 'Provides cellular protection']",4.5,154 Ratings
SBL FP-Tabs Tablet,SBL Pvt Ltd,NA,"['Relieves itching, pain and swelling related to piles and anal fissures', 'It is helpful against constipation', 'It is also known to manage both internal and external piles']",4.4,528 Ratings
Dr. Reckeweg R4 Diarrhoea Drop,Dr Reckeweg & Co,NA,"['Can help in the treatment of diarrhoea', 'May provide relief from nausea and vomiting', 'Can help reduce dehydration']",4.5,93 Ratings
SBL Cantharis Dilution 200 CH,SBL Pvt Ltd,NA,"['Manages inflamed bladder', 'Relieves concerns about causing pain in the kidneys', ""Supports women's health""]",4.6,429 Ratings
SBL Arnica Montana Dilution 1000 CH,SBL Pvt Ltd,NA,"['Reduces swelling and soreness in the injured area', 'Restricts bleeding around the injured area', 'It is primarily used for the treatment of post-injury bruises and sores']",4.6,2511 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Denton Tablet,SBL Pvt Ltd,NA,"['Aids in calcium and phosphate absorption', 'Effective relief from dentition-related issues', 'Relieves abdominal pain, diarrhea, and irritability']",4.5,88 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Dr. Reckeweg R77 Anti-Smoking Drop,Dr Reckeweg & Co,NA,"['May help quit smoking', 'Relieves headaches due to smoking', 'Prevents arrhythmic palpitation']",4.2,93 Ratings
ADEL 48 Itires Drop,Adel Pekana Germany,NA,"['Helps resolve chronic infections of the skin and intestines', 'Regulates an exhausted metabolism and addresses pathogenic conditions of the bladder, skin and kidneys', 'May useful for treating inflamed, infected and swollen lymph nodes', 'Eliminates both acute and chronic lymphatic conditions']",4.4,75 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Bio-Combination 20 Tablet,SBL Pvt Ltd,NA,"['Helps manage skin conditions', 'Useful for acne', 'Helps with eruptive skin conditions', 'Helps manage eruptions of the scalp']",4.5,457 Ratings
SBL Kalmegh Paediatric Drop,SBL Pvt Ltd,NA,NA,4.3,136 Ratings
SBL Cholesterinum Trituration Tablet 6X,SBL Pvt Ltd,NA,"['Acts as a liver tonic', 'Regulates cholesterol levels', 'Effective remedy in gallstones and jaundice']",4.6,341 Ratings
Bakson's Homeopathy Astha Aid Syrup,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['It has a three-fold action as it helps to control cough, dilates bronchi and aids expectoration', 'Remedy for the feeling of breathlessness when associated with bronchitis']",4.7,76 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
SBL Aloe Socotrina Dilution 200 CH,SBL Pvt Ltd,NA,"['Supports renal health', 'Promotes digestive wellness', 'Alleviates respiratory conditions', 'Useful for piles']",4.4,206 Ratings
ADEL 1 Apo-Dolor Drop,Adel Pekana Germany,NA,"['It is highly effective against migraines', 'Helps with nervous tension, emotional conditions or internal regulation dysfunction', 'Helps relieve restlessness caused by psychic stress', 'It also helps relieve joint and muscle pain']",4.7,92 Ratings
SBL Silk N Stay Aloe Vera Cream for Normal / Oily Skin,SBL Pvt Ltd,NA,"['Acts as a natural moisturizer and natural antiseptic', 'Effective anti-ageing and anti-wrinkle cream', 'Helps remove blemishes', 'This product is dermatologically tested', 'Suitable for normal or oily skin types']",4.2,104 Ratings
Dr. Reckeweg Natrum Mur Dilution 30 CH,Dr Reckeweg & Co,NA,"['Primarily used to deal with anaemia and inflammation', 'Useful for digestive disorders', 'Regulates increased blood sugar levels', 'Relieves constrictions of the chest and heart']",4.5,300 Ratings
Dr Willmar Schwabe India Echinacea Angustifolia Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['It helps to relieve tonsils and conditions associated with it', 'It helps to relieve stomach disorders such as nausea and heartburn', 'It can also help to get relief from fever with nausea']",4.5,121 Ratings
SBL Azadirachta Indica Mother Tincture Q,SBL Pvt Ltd,NA,"['Helps reduce baldness', 'Soothes irritated skin and manages insect bites', 'Supports blood purification and blood flow', 'Reduces gum diseases', 'Helps manage scabies and skin blisters']",4.6,182 Ratings
SBL Silicea Biochemic Tablet 12X,SBL Pvt Ltd,NA,"['Useful for bone disorders', 'Manages defective nutrition', 'Helps with difficulty in passing stool', 'Relieves skin dryness, itching and swelling']",4.5,415 Ratings
SBL Staphysagria Dilution 200 CH,SBL Pvt Ltd,NA,"['Relieves exhaustion and irritability', 'Possesses anti-inflammatory property', 'Deals with teeth complains', 'Helpful in urinary problems']",4.4,274 Ratings
Dr Willmar Schwabe India Histaminum Hydrochloricum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Relieves allergy symptoms', 'This medicine uses highly diluted natural substances to relieve arthritic pain', 'It does not have any side effects']",4.5,151 Ratings
SBL Rite-Hite Tablet,SBL Pvt Ltd,NA,"['Useful for children suffering from anaemia, feeble digestion, growth and development problems', 'Helps enhance memory and concentration', 'Aids in supporting overall health']",4.3,402 Ratings
SBL Fel Tauri Trituration Tablet 3X,SBL Pvt Ltd,NA,"['Manages liver-related concerns', 'Regulates blood sugar levels', 'Helps lower elevated cholesterol levels', 'Promotes bowel movements and aids in bowel cleansing']",4.5,93 Ratings
Dr Willmar Schwabe India Arsenicum Album Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Relieves acidity and indigestion', 'Manages stress and anxiety', 'Manages skin and respiratory ailments', 'Relieves fever']",4.5,394 Ratings
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,NA,"['Beneficial in case of kidney stones, constipation, and diarrhoea', 'Provides relief in case of arthritic pains', 'Helps to prevent inflammation and pain in gall bladder', 'Beneficial in skin related ailments', 'Helps to overcome pains related to renal calculi']",4.5,941 Ratings
Allen A90 Ovarian Cysts Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Crafted with homeopathy elements', 'Caters to female reproductive health', 'Addresses symptoms of ovarian cysts', 'Safe for consumption']",4.6,67 Ratings
SBL Agnus Castus Dilution 200 CH,SBL Pvt Ltd,NA,"['A homeopathy solution that is safe for consumption', 'May curtail symptoms of anxiety and related issues', 'Keeps you energized and fit', 'Soothes arthritic and rheumatic pains', 'May help with sexual health']",4.3,421 Ratings
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,NA,"['Prevents acne and pimples', 'Reduces dark spots', 'Makes the skin soft and supple']",4.5,97 Ratings
SBL Arnica Montana Fortified Hair Oil,SBL Pvt Ltd,NA,"['Promotes hair growth', 'Acts as a stimulant', 'Helps clear dandruff']",4.2,154 Ratings
REPL Dr. Advice No.73 Nasal Polyp Drop,Renovision Exports Pvt Ltd,NA,"['Manages nasal polyp', 'Prevents laboured breathing', 'Useful in stuffy and running nose']",4.2,72 Ratings
Dr. Reckeweg Baryta Carb Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps enhance memory', 'Helps with tonsillitis and associated symptoms', 'Helps manage the tendency to talk and twitch during sleep']",4.5,203 Ratings
SBL Grindelia Robusta Mother Tincture Q,SBL Pvt Ltd,NA,"['Useful for splenic pains', 'Relieves lethargy and fullness in the stomach', 'Manages skin burns, blisters and rashes', 'Improves digestion and manages breathing issues']",4.5,96 Ratings
Dr. Reckeweg Acid Nitricum Dilution 30 CH,Dr Reckeweg & Co,NA,"['Helps manage irritability and anger issues', 'Manages bleeding from nose, recurrent cold and cough', 'Assists with fissures and piles']",4.5,182 Ratings
Bakson's Homeopathy Beepee Aid Drop,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Bakson Bee Pee Aid drops: control blood pressure by regulating blood circulation and preventing venous stasis', 'Offers a natural and effective solution to maintain healthy blood pressure levels', ""Works with the body's natural healing processes, promoting overall health and well-being"", 'Provides a holistic approach to maintaining healthy blood pressure levels without harmful side effects']",4.4,104 Ratings
Adven Justin Cough Syrup,Adven Biotech Pvt Ltd,NA,NA,4.5,51 Ratings
SBL Natrum Sulphurica Biochemic Tablet 6X,SBL Pvt Ltd,NA,NA,4.5,146 Ratings
SBL Silk N Stay Antiseptic Calendula Soap,SBL Pvt Ltd,NA,"['Acts as a moisturizer and prevent dry, rough and minor skin irritations', 'Anti-ageing effects that heals and protects the skin', 'It lightens and evens skin tone by cleansing away pore-deep impurities', 'Fades pigmentation marks and blemishes']",4.4,261 Ratings
Bakson's Homeopathy Astha Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps fight chronic bronchitis', 'Aids in managing cough', 'Helps deal with breathing difficulties']",4.3,78 Ratings
SBL Chamomilla Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.6,213 Ratings
SBL Yohimbinum Mother Tincture Q,SBL Pvt Ltd,NA,"['Deals with stress and blood pressure', 'Effective for low sexual vitality', 'Boosts energy and vitality', 'Helpful in appetite loss and supports weight loss']",4.3,116 Ratings
Dr. Reckeweg Silicea Dilution 200,Dr Reckeweg & Co,NA,"['Supports bone health', 'Relieves headaches and spasms', 'Manages tonsils and back pain']",4.5,217 Ratings
Allen A65 Bronchitis Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Improves lung health', 'Deals with cough which is accompanied by expectoration', 'Effective in case of breathlessness', 'Relieves chest pain, wheezing and sore throat']",4.5,103 Ratings
Hapdco Reumacon Pain Killer Oil,HAPDCO,NA,"['Relieves all muscular and joint pain', 'Maintains blood circulation', 'Manages concerns associated with arthritis, gout, lumbago, sciatica, spondylitis, sprain, and rheumatism']",4.4,161 Ratings
SBL Rumex Crispus Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.5,105 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Dr. Reckeweg R56 Oxysan Vermifuge Drop,Dr Reckeweg & Co,NA,"['It helps remove worms from the digestive system', 'It helps maintain healthy digestive functions', 'It aids in the treatment of helminths']",4.4,70 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Homeodent Neem Plus Toothpaste,SBL Pvt Ltd,NA,"['Retains fresh breath for a longer time', 'Prevents plaque and other tooth diseases', 'Helps to fight gingivitis', 'Prevents carries and formation of tartar']",4.5,122 Ratings
ADEL 24 Septonsil Drop,Adel Pekana Germany,NA,"['It is effective for sore throat', 'It provides relief from tickling cough and running nose', 'The product helps to provide relief from throat inflammation', 'Provides relief in throat inflammation']",4.5,61 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Dysmin Tablet,SBL Pvt Ltd,NA,"['Relieves menstrual pain', 'Reduces backache', 'Non-drowsy and non-addictive', 'Relieves other menstrual symptoms']",4.6,81 Ratings
Dr Willmar Schwabe Germany Tonsiotren Tablet,Dr Willmar Schwabe India Pvt Ltd,NA,"['Effectively relieves sore throat', 'Alleviates inflammation', 'Helpful in cases of chronic tonsillitis and sinusitis', 'Stimulates healing process in general']",4.8,47 Ratings
Bakson's Homeopathy Calci Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Provides holistic calcium supports for pregnancy, menopause, and aging', 'Calcarea carbonica and silicea strengthens bones and alleviates cramps', 'Silicea promotes wellness in growing children, fights bone issues', 'Embrace homeopathic power for strong, flexible bones']",4.4,82 Ratings
Sunny Herbals Hair Color 12 Sachets Black,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Promotes hair strength, shine, and scalp health', 'Provides a safe and gentle alternative to chemical hair dyes', 'Suitable for all hair types', 'Revitalise dull and lifeless hair']",4.3,88 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
SBL Eupatorium Perfoliatum Dilution 30 CH,SBL Pvt Ltd,NA,"['Helps to relieve limb and muscle pain', 'Useful in cases of dengue and malaria', 'Aids in reducing soreness in the chest']",4.6,412 Ratings
Dr Willmar Schwabe India Alpha - HA Drop,Dr Willmar Schwabe India Pvt Ltd,NA,"['Provides relief from headaches', 'Reduces throbbing pain', 'Improves overall well-being']",4.6,109 Ratings
Dr. Reckeweg Allium Cepa Dilution 30 CH,Dr Reckeweg & Co,NA,"['Relieves cold, catarrh and cough', 'Manages eye infections, hay fever and earaches', 'Assists with burning pain in the nose, skin, throat, and bladder']",4.6,133 Ratings
Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['It helps to reduce bacterial infections', 'It is a remedy for wart', 'It is useful in the treatment of gonorrhoea']",4.5,331 Ratings
SBL Ceanothus Americanus Mother Tincture Q,SBL Pvt Ltd,NA,"['Relieves abdominal pain', 'Provides relief from diarrhoea', 'Useful for liver and spleen problems', 'Reduces the urgency to urinate']",4.5,77 Ratings
Dr Willmar Schwabe India Rhus Toxicodendron Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps manage sore throat and excessive cough', 'Helps manage skin conditions like itchiness and rashes', 'Helps reduce pains associated with arthritis and rheumatism', 'Helps relieve symptoms of flu and viral infections', 'Aids in managing sore throat and excessive cough']",4.6,552 Ratings
SBL Drosera Rotundifolia Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.6,107 Ratings
Bakson B1 Influenza & Fever Drop,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Homoeopathic remedy for fever, dengue, chikungunya, cough, sore throat, and sneezing', ""Stimulates the body's natural healing mechanisms with high-quality homoeopathic ingredients"", 'Safe and gentle alternative to traditional medications without adverse side effects', 'Reduces inflammation and irritation in the respiratory tract for faster recovery and easier breathing', 'Alleviates malaise, fatigue, and body aches associated with fever and respiratory infections']",4.6,84 Ratings
Dr Willmar Schwabe India Aurum Muriaticum Natronatum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,NA,"['Soothes chronic inflammation', 'Prevents growth of blisters', 'Reduces the swelling on the lower jaw', 'Adresses catarrhal and glandular affections', 'Safe for consumption']",4.4,70 Ratings
SBL Lycopodium Clavatum Dilution 1000 CH,SBL Pvt Ltd,NA,"['It is used for bloating and liver complaints', 'Helps in relieving pains related to rheumatism and arthritis', 'Based on homoeopathic composition, it is safe to use and has no side effects']",4.5,1286 Ratings
SBL Insulinum Dilution 200 CH,SBL Pvt Ltd,NA,NA,4.6,177 Ratings
Dr Willmar Schwabe India Calcarea Carbonica Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Recommended for patients who are chronically tired and lacking in energy, having headaches is relieved', 'It is used in fright, suppressed discharges, faulty (improper) nutrition', 'Chronic tonsillitis, constriction in the throat, and cramp-like contraction is relieved', 'It is used for the treatment carpal tunnel syndrome']",4.6,203 Ratings
Dr Willmar Schwabe India Tussistin Syrup,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.5,85 Ratings
Dr Willmar Schwabe India Phytolacca Berry Tablet (4 in 1 Combo Pack) Tablet,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps to manage weight', 'Helps to improve digestion and absorption process', 'Helps to counter hyperacidity', 'Helps to overcome the feeling of weakness', 'Useful in case of post-delivery weight gains']",4.1,69 Ratings
Wheezal Dr. Farokh J. Master's Wl 45 Anti-Snoring Drop,Wheezal Homeo Pharma,NA,"['Helps to improve the quality of sleep', 'It could assist in clearing the blocked airways', 'It helps in the treatment of sleep apnea', 'Helps to improve the quality of sleep']",4,67 Ratings
German's No Piles Care and Cure Drop,German Homoeo Care and Cure Pvt. Ltd.,NA,"['Made with potent ingredients', 'Helps with pain, bleeding and itching', 'Effective for anal fissures, prolapse of anus, plethora']",4.2,113 Ratings
Bakson's Homeopathy Kof Aid Plus Cough Syrup Sugar Free,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Provides quick relief from cough', 'Does not cause drowsiness']",4.5,190 Ratings
REPL Kamsutram Oil,Renovision Exports Pvt Ltd,NA,"['Improves and enhances sexual desire', 'Used to improve and enhance erection', 'Help to stimulate libido and increase male vigour']",3.5,58 Ratings
SBL Aloe Socotrina Dilution 30 CH,SBL Pvt Ltd,NA,"['Supports renal health', 'Promotes digestive wellness', 'Alleviates respiratory conditions', 'Useful for piles']",4.4,206 Ratings
SBL Bio-Combination 2 Tablet,SBL Pvt Ltd,NA,"['Relieves breathlessness', 'Reduces irregular pulse and excess yellow sputum', 'Relieves convulsive tickling cough', 'Helps with difficulty in breathing']",4.6,118 Ratings
Dr Willmar Schwabe India Bryonia Alba Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Useful in pains worse by motion and better by rest', 'Manages sensitive epigastrium, and feeling of a stone in the stomach', 'Bryonia Alba is a great medicine to relieve the dryness in stools']",4.7,329 Ratings
Dr Willmar Schwabe India Alfalfa Tonic For Children,Dr Willmar Schwabe India Pvt Ltd,NA,"['Provides essential nutrients', 'Promotes physical activities', 'Reduces fatigue and weakness']",4.4,130 Ratings
ADEL 78 Dercut Ointment,Adel Pekana Germany,NA,"['Metabolises and eliminates toxins via the intestines and urological tract', 'Reduces acne, psoriasis, eczema, hives, oozing rashes, herpes zoster and itching dermatitis', 'Well known for trachoma states of the skin, wet eczema and itching and burning pustules']",4.3,56 Ratings
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Tincture of fresh leaves', 'Remedy works on the bloating and liver complaints', 'Reduces back - ache, joint pains, digestive troubles, etc.']",4.4,316 Ratings
SBL Antimonium Crudum Dilution 30 CH,SBL Pvt Ltd,NA,"['It helps in fighting obesity', 'Helps treat Depression, grief and feeling of indifference towards life', 'Useful in treating skin issues like pimples, vesicles and Eczema']",4.6,393 Ratings
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,Dr Reckeweg & Co,NA,"['Useful for glandular swellings and eruptions', 'Relieves cough and sore throat', 'Alleviates gum pain and ear aches', 'Helpful for digestive and skin problems']",4.6,257 Ratings
Dr Willmar Schwabe India Ginseng MT Tablet 1X,Dr Willmar Schwabe India Pvt Ltd,NA,"['Used for impotence and premature ejaculation', 'May help to improve sperm count', 'Lowers cholesterol, triglycerides with an increase in HDL', 'Useful in non-insulin-dependent diabetes and senility']",4.4,82 Ratings
Dr. Reckeweg Insulinum Trituration Tablet 10X,Dr Reckeweg & Co,NA,"['Regulates blood sugar levels', 'Manages boils and varicose ulceration', 'Assists in skin-related concerns such as acne, carbuncles, erythema and itching eczema']",4.4,52 Ratings
ADEL 10 Deasth Drop,Adel Pekana Germany,NA,"['Primarily used for the treatment of lung disorders', 'It could be used to relieve stomach pain and cramps along with nausea and indigestion', 'Helps in the cases of bronchitis, cardiac asthma', 'These drops are a proven remedy against acute and chronic asthma']",4.7,62 Ratings
Haslab Drox 14 Goutrin Drop,HASLAB,NA,"['Useful in gout', 'Enhances uric acid metabolism', 'Reduces inflammation']",4.4,82 Ratings
Bjain Calendula Officinalis Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,NA,4.4,93 Ratings
Dr. Reckeweg Gelsemium Sempervirens Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps with vision and vertigo problems', 'Useful for colds, flu and sore throat', 'Helps manage nervousness and anxiety', 'Helps with heavy eyelids and double vision']",4.6,282 Ratings
